Polish,English
Adam,Adam
Adrian,Adrian
Albert,Albert
Albin,Albin
Aleksander,Alexander
Aleksy,Alex
Alfons,Alphonso
Ambroży,Ambrose
Anatol,Anatole
Andrzej,Andrew
Anioł,"Angel, Angelus"
Antoni,Anthony
Antonin,Anthony
Antonius,Anthony
Anzelm,Anselm
Apoloniusz,Apollonius
Arkadiusz,Arcadius
Arkady,Arcadius
Arnold,Arnold
Artur,Arthur
August,Augustus
Augustyn,Augustine
Bartłomiej,Bartholomew
Bartosz,Bart
Bazyli,Basil
Benedykt,Benedict
Bernard,Bernard
Błażej,"Blase, Blaise"
Bogdan,None
Bogumił,None
Bogumir,None
Bogusław,None
Bolesław,Boleslaus
Bonifacy,Boniface
Borys,Boris
Borysław,
Bożidar,None
Bożimir,None
Bronisław,Bronislaus
Brunon,Bruno
Budzisław,
Celestyn,Celestine
Cezary,"Cesar,Caesar"
Chrystian,Christian
Chwalibóg,
Chwalimir,
Cyprian,Cyprian
Cyryl,Cyril
Czesław,Ceslaus
Damian,"Damien, Damian"
Daniel,Daniel
Danuta,Donna
Dariusz,Darius
Dawid,David
Dekster,Dexter
Denis,Dennis
Dionizy,"Dion, Dennis"
Dobiesław,None
Dobrogost,None
Dobrosław,None
Dominik,"Dominick, Dominic"
Donat,Donatus
Dymitr,Dimitri
Edmund,"Edmund, Edmond"
Edward,Edward
Eliasz,"Elijah, Elias"
Emil,Emile
Ernest,Ernest
Eryk,Eric
Eugeniusz,Eugene
Fabian,Fabius
Felicjan,Felician
Feliks,Felix
Ferdynand,Ferdinand
Filip,Philip
Florentyn,Florentine
Florian,Florian
Fortunat,Fortunatus
Franciszek,"Francis, Frank"
Franciszek Ksawery,Francis Xavier
Fryderyk,"Frederick, Fred"
Gabriel,Gabriel
Gaj,Gaius
Gaweł,"Gallus, Gall"
Gerard,"Gerard, Garrett"
Gerwazy,Gervase
Ginter,Gunther
Godzisław,
Gościsław,
Grzegorz,Gregory
Grodzisław,
Gustaw,"Gustave, Gustav"
Gwalbert,"Gualbert, Walbert"
Halina,Helen
Hanusz,John
Henryk,"Henry, Harry"
Herbert,Herbert
Hieronim,Jerome
Hilary,Hilary
Hipolit,Hippolytus
Honorat,Honor
Horacy,"Horace, Horatio"
Hubert,Hubert
Hugo,"Hugh, Hugo"
Idzi,"Giles, Aegidius"
Ignacy,Ignatius
Igor,Igor
Inocenty,Innocent
Ireneusz,Ireneus
Iwan,Ivan
Iwo,Ivo
Iwon,Ivo
Izajasz,Isaiah
Izydor,Isidore
Jacek,Jack
Jakub,"Jacob, James"
Jan,John
Janusz,"John, Jack"
Jaromir,Jaromir
Jaropełk,Yaropolk
Jarosław,Jaroslav
Jerzy,George
Jędrzej,
Joachim,Joachim
Jozafat,Josephat
Józef,Joseph
Józefat,Josephat
Julian,Julian
Juliusz,"Jules, Julius"
Juri,Yuri
Justyn,Justin
Kacper,"Jasper, Casper"
Kajetan,"Cajetan, Cajetanus"
Kamil,Camillus
Kanimir,
Karol,"Charles, Carl"
Kasper,"Jasper, Casper"
Kazimierz,Casimir
Klaudiusz,Claude
Klemens,Clement
Kondrat,Conrad
Konrad,Conrad
Konstanty,Constant
Konstantyn,Constantine
Kornel,Cornelius
Korneli,Cornelius
Korneliusz,Cornelius
Kosma,"Cosmo, Cosmas"
Kryspyn,Crispin
Krystian,Christian
Krystyn,Christinus
Krzesisław,
Krzysztof,Christopher
Ksawery,Xavier
Kwiatosław,None
Laurencjusz,"Lawrence, Laurence"
Lech,None
Lechosław,None
Leo,"Leon, Leo"
Leon,"Leon, Leo"
Leokadiusz,Leocadius
Leonard,Leonard
Leopold,Leopold
Lesław,contracted form of Lechosław
Leszek,None
Lew,"Leon, Leo"
Longin,Longin
Lubomił,None
Lubomir,None
Luborad,None
Lubosław,None
Lucjan,Lucian
Ludomił,None
Ludomir,None
Ludwik,"Lewis, Louis"
Łukasz,"Luke, Lucas"
Maciej,Matthias
Makary,Macarius
Maksymilian,Maximilian
Malachiasz,Malachi
Manfred,Manfred
Marcel,"Marcel, Marcellus"
Marceli,"Marcel, Marcellus"
Marcin,"Martin, Martyn"
Marek,"Mark, Marc, Marcus"
Marian,"Marion, Marianus"
Marin,Marin
Mariusz,Marius
Maryn,Marin
Mateusz,Matthew
Maurycjusz,"Maurice, Morris"
Maurycy,"Maurice, Morris"
Maurycjusz,"Maurice, Morris"
Medard,Medard
Melchior,Melchior
Metody,Methodius
Michał,Michael
Mieszko,
Mieczysław,Mitchell
Mikołaj,Nicholas
Miłosz,
Milan,
Mirosław,
Napoleon,Napoleon
Narcyz,Narcissus
Natan,Nathan
Natanael,Nathanael
Nataniel,Nathaniel
Nicefor,Nicephorus
Niecisław,
Nikodem,Nicodemus
Norbert,Norbert
Oktawiusz,Octavius
Olaf,"Olaf, Olav"
Oleg,Oleg
Olgierd,
Onufry,"Onuphrius, Humphrey"
Oskar,Oscar
Oswald,"Oswald, Osvald"
Pabian,Fabian
Pafnucy,Paphnutius
Pakosław,
Pankracy,Pancras
Patryk,Patrick
Paweł,Paul
Pelagiusz,Pelagius
Petroniusz,Petronius
Piotr,Peter
Polikarp,Polycarp
Prot,Protus ?
Przemysł,
Przemysław,
Radomił,
Radomir,
Radosław,
Rafał,Raphael
Rajmund,Raymond
Remigiusz,"Remy, Remi"
Robert,Robert
Roch,Rock
Roland,Roland
Roman,Roman
Romuald,Romuald
Rudolf,Rudolph
Ryszard,Richard
Sebastian,Sebastian
Serafin,Seraphinus
Sergiusz,Serge
Serwacy,"Servatius, Servais"
Seweryn,Severin
Siemowit,None
Sławomierz,
Sławomir,None
Sofroniusz,Sophron
Stanisław,"Stanislaus, Stanley"
Stefan,"Stephen, Steven"
Stojan,
Świętosław,
Sylwester,"Sylvester, Silvester"
Szczepan,"Stephen, Steven"
Szymon,"Simon, Simeon"
Tadeusz,Thaddeus
Teobald,"Theobald, Tibald"
Teodor,Theodore
Teofil,Theophilus
Tobiasz,"Toby, Tobias"
Tomasz,Thomas
Tomisław,
Tymon,Timon
Tymoteusz,Timothy
Tytus,Titus
Urban,Urban
Wacław,Wenceslas
Waldemar,"Waldemar, Valdemar"
Walenty,Valent
Walentyn,Valentine
Walerian,Valerian
Walter,Walter
Wandelin,Wendelin
Wawrzyniec,"Lawrence, Laurence"
Więcesław,Wenceslas
Wendelin,Wendelin
Wielisław,None
Wiesław,None
Wiktor,Victor
Wilhelm,William
Wincenty,Vincent
Witold,
Wisław,None
Wit,"Vitus, Guy"
Witalis,Vitalis
Witold,None
Witołd,Witold
Władysław,"Ladislaus, Vladislav"
Włodzimierz,Vladimir
Włodzisław,"Ladislaus, Vladislav"
Wojciech,None
Wojsław,None
Zachariasz,"Zachariah, Zachary"
Zbigniew,None
Zdzisław,None
Żelisław,None
Zenobiusz,Zenobius
Zenon,"Zenon, Zeno"
Ziemowit,None
Zygfryd,"Sigfrid, Siegfried"
Zygmunt,Sigismund
Żytomir,None
Adelajda,Adelaide
Adriana,Adriana
Adrianna,Adrienne
Agata,Agatha
Agnieszka,Agnes
Aleksandra,"Alexandra, Alexis"
Aleksja,Alexia
Alicja,"Alice, Alicia"
Alina,Alina
Amanda,"Amanda, Mandy"
Amelia,Amelie
Anastazja,"Anastasia, Stacy"
Andrea,Andrea
Andrzeja,Andrea
Aneta,Annette
Angela,Angela
Angelika,Angelica
Angelina,Angelina
Aniela,Angela
Anita,Anita
Anna,"Ann, Anne, Anna"
Antonina,Antoinette
Apolonia,
Arleta,Arletta
Aurelia,Aurelia
Balbina,Balbina
Barbara,Barbara
Beata,Beata
Berenika,Berenice
Bogna,
Bogumiła,
Bogusława,
Bożena,
Brygida,Bridget
Cecylia,"Cicely, Cilly"
Celina,Celine
Czesława,
Dagmara,Dagmar
Daniela,Daniela
Danuta,"Dana, Donata"
Daria,Daria
Deksteryn,Dexterine
Dominika,Dominique
Donata,Donata
Dorota,Dorothy
Dżesika,Jessica
Edyta,Edith
Eleonora,Eleanor
Eliza,"Eliza, Elise"
Elżbieta,"Elizabeth, Elisabeth"
Emilia,Emily
Eugenia,Eugenia
Ewa,Eve
Ewelina,Evelyn
Fabiola,Fabienne
Faustyna,Faustina
Franciszka,"Frances, Francine"
Gabriela,"Gabriella, Gabrielle"
Genowefa,"Genevieve, Genoveva"
Grażyna,Grace
Halina,Helen
Hanna,Hannah
Hedwiga,Hedwig
Helena,Helen
Henryka,"Harriet, Henrietta"
Ilona,"Ilona, Helen"
Irena,Irene
Iwa,Iva
Iwona,Yvonne
Izabela,Isabella
Jadwiga,Hedwig
Janina,"Jane, Jean, Jeannine"
Joanna,"Joan, Joanna, Joanne"
Jolanta,"Iolanthe, Yolanda"
Józefa,Josepha
Józefina,Josephine
Judyta,"Judith, Judy"
Julia,"Julia, Julie"
Justyna,Justine
Kaja,"Kay, Kaya"
Kalina,
Kamila,Camilla
Karina,Karen
Karolina,Caroline
Katarzyna,"Catherine, Katharine"
Kasandra,Cassandra
Kazimiera,Casimira
Kinga,
Klara,"Clare, Claire"
Klaudia,Claudia
Klementyna,Clementine
Kornelia,Cornelia
Krystyna,Christine
Ksenia,Xenia
Kunegunda,"Cunegond, Cunegund"
Laura,Laura
Lidia,Lydia
Lilia,"Lilli, Lilly"
Liliana,Lillian
Linda,Linda
Lucyna,Lucine
Ludmiła,Ludmilla
Ludwika,Louise
Luiza,Louise
Łucja,"Lucy, Lucia"
Magdalena,Magdalen
Maja,May
Malina,
Malwina,Melvine
Małgorzata,Margaret/Maggie
Maria,"Mary, Maria"
Marianna,"Marian, Marianne"
Marietta,Marietta
Mariola,Mariel
Marlena,Marlene
Marta,Martha
Martyna,Martine
Maryla,Marilyn
Maryna,Marina
Marzena,Marion
Melania,Melanie
Michalina,Michelle
Mirosława,
Monika,Monica
Nadia,"Nadia, Nadya"
Nadzieja,"Nadezda, Nadya, Hope"
Natalia,Natalie
Natasza,Natasha
Nikola,Nicole
Nina,Nina
Odeta,Odette
Olga,Olga
Oliwia,"Olive, Olivia"
Otylia,Odile
Pamela,Pamela
Patrycja,Patricia
Paula,Paula
Paulina,Pauline
Pelagia,Pelagia
